tweet_id,text,user_id,user_name,in_reply_to_screen_name,created_at,hashtags,retweet_count,favorite_count,source,retweeted,lang,location,rt_from,mentions
1322561466357211136,"3 days.

Stay empowered, stay optimistic, stay united.",939091,JoeBiden,NA,2020-10-31T15:30:00.000+01:00,NA,22100,214179,TweetDeck,false,en,WA,NA,NA
1322372724220600320,Alfonso vino aquÃ­ con un sueÃ±o. Y su futuro ha sido robado. Ya es suficiente. https://t.co/VHGK9dYNRA,939091,JoeBiden,NA,2020-10-31T03:00:00.000+01:00,NA,2104,11879,Twitter Media Studio,false,es,WA,NA,NA
1322640738648313856,"As president, I will choose: 

Hope, not fear.
Peace, not violence.
Generosity, not greed.
 
Iâ€™ll appeal to the best in us, not the worst.",939091,JoeBiden,NA,2020-10-31T20:45:00.000+01:00,NA,16603,148663,TweetDeck,false,en,WA,NA,NA
1322678924485296129,"At the young age of 102, Pearl Wachman talks about the remarkable story of American progress and how we must mobilize and vote!

This video has us feeling good as hell. Thank you, Pearl. https://t.co/jxbUGTJ6TI",939091,JoeBiden,NA,2020-10-31T23:16:44.000+01:00,NA,2543,13205,Twitter Web App,true,en,WA,TeamJoe,NA
1322623616568168448,"Don't boo â€” vote! Happy Halloween, everybody. https://t.co/XdZz4dh82T https://t.co/A28ZuxPf4i",939091,JoeBiden,NA,2020-10-31T19:36:58.000+01:00,NA,22246,206004,Twitter Web App,true,en,WA,BarackObama,NA
1322531268152729601,"Every single American deserves access to regular, reliable, and free COVID-19 testing. Period.",939091,JoeBiden,NA,2020-10-31T13:30:00.000+01:00,NA,12392,130340,TweetDeck,false,en,WA,NA,NA
1322585061452034048,"Folks, weâ€™re just three days from Election Day â€” and what you do between now and when polls close on Tuesday will determine the course of our country for generations to come. 

Sign up to help us get voters to the polls: https://t.co/WSKsQEip4U",939091,JoeBiden,NA,2020-10-31T17:03:45.000+01:00,NA,3542,24981,Twitter Web App,false,en,WA,NA,NA
1322685282165026817,"I want to extend my prayers and condolences to the Chaldean Assyrian Community this 10th anniversary of Our Lady of Deliverance church massacre in Baghdad. The right to worship is fundamental, and as Americans we should be proud that people from around the world find a home here.",939091,JoeBiden,NA,2020-10-31T23:42:00.000+01:00,NA,3923,38288,TweetDeck,false,en,WA,NA,NA
1322639650029293569,"Is your ballot still sitting at home? Iâ€™m asking you to:

â€¢ Fill it out.
â€¢ Sign it.
â€¢ Seal it.
â€¢ Deliver it. https://t.co/CDGlmNVuwp",939091,JoeBiden,NA,2020-10-31T20:40:40.000+01:00,NA,3675,21128,Twitter Web App,true,en,WA,DrBiden,NA
1322365174288797696,Let me be clear: Anyone who is responsible for plunging and ensnaring America in this crisis â€” anyone who could do so without an ounce of shame or a shred of empathy â€” should not be president. https://t.co/Rps7MFavJX,939091,JoeBiden,NA,2020-10-31T02:30:00.000+01:00,NA,9948,62133,Twitter Web App,false,en,WA,NA,NA
1322347053670825984,"Love will always win. Congratulations, @S10Bird and @mPinoe! https://t.co/isj9Q2R3R8",939091,JoeBiden,NA,2020-10-31T01:18:00.000+01:00,NA,9034,141131,Twitter Web App,false,en,WA,NA,"[""S10Bird"",""mPinoe""]"
1322512392937525249,"The future of this country is in your hands.

Make a plan to vote now. https://t.co/uoiVh9ZqzI",939091,JoeBiden,NA,2020-10-31T12:15:00.000+01:00,NA,3208,22310,TweetDeck,false,en,WA,NA,NA
1322551400191135744,"The urgency of this election couldnâ€™t be greater â€” and the stakes couldnâ€™t be higher. 

Donâ€™t wait: go to https://t.co/eoxT07d7QB and vote early today.",939091,JoeBiden,NA,2020-10-31T14:50:00.000+01:00,NA,2362,14464,TweetDeck,false,en,WA,NA,NA
1322646873081966593,"There is too much at stake on Tuesday to sit this election out. Tune in as @BarackObama, @StevieWonder, and I get out the vote in Detroit, Michigan. https://t.co/ihywYiR6lc",939091,JoeBiden,NA,2020-10-31T21:09:22.000+01:00,NA,2424,13554,Periscope,false,en,WA,NA,"[""BarackObama"",""StevieWonder""]"
1322342775518457856,"This Domestic Violence Awareness Month, I recommit to ensuring domestic violence is treated like the crime it is, and to ensuring survivors receive the support they need. I've spent my entire career fighting domestic abuse â€” and will continue that fight as president. #DVAM",939091,JoeBiden,NA,2020-10-31T01:01:00.000+01:00,"[""DVAM""]",5902,42694,TweetDeck,false,en,WA,NA,NA
1322613077997740032,"Voting Update! Early vote hours have been extended in Douglas County, NE to 5:00 PM today. 

Find your early voting location at https://t.co/XL8fO5SXJr. https://t.co/DIUcxE1Lyf",939091,JoeBiden,NA,2020-10-31T18:55:05.000+01:00,NA,929,4536,Twitter Web App,true,en,WA,TeamJoe,NA
1322598107809394689,"With just three days to go, @BarackObama and I are back together on the campaign trail in Michigan. Tune in. https://t.co/8jqYUvbTz9",939091,JoeBiden,NA,2020-10-31T17:55:36.000+01:00,NA,3085,18443,Periscope,false,en,WA,NA,"[""BarackObama""]"
1322329396263354368,Your vote will help determine the future of our country. Iâ€™m in Wisconsin to urge folks to use that power. Tune in. https://t.co/UOPVdn58z0,939091,JoeBiden,NA,2020-10-31T00:07:50.000+01:00,NA,1945,12094,Periscope,false,en,WA,NA,NA
1322536634085187588,"ðŸš¨3 days until Election DayðŸš¨ 

Itâ€™s not too late to volunteer with our campaign. 

See how to get involved this weekend!  

https://t.co/8is7gbSKrW",939091,JoeBiden,NA,2020-10-31T13:51:19.000+01:00,NA,1140,7157,Twitter Web App,true,en,WA,TeamJoe,NA
